纫,rèn,nhân,xâu kim/may, khâu/(văn học) rất biết ơn,,,,,,
玖,jiǔ,cửu,ngọc đen/chín (chữ số chống gian lận của ngân hàng),,,,,,,
玛,mǎ,mã,mã não,,,,,,,
扼,è,ách,nắm chặt/túm lấy/canh giữ/kiểm soát/cầm giữ | biến thể của 扼[e4],,,,,,,
汞,gǒng,hống | cống,thủy ngân (hóa học) | biến thể của 汞[gong3],,,,,,,
坎,kǎn,khảm,"hố/ngưỡng cửa/một trong Bát Quái 八卦[ba1 gua4], tượng trưng cho nước/☵ | biến thể cũ của 坎[kan3]/hố/lỗ",,,,,,,
坊,fāng|fáng,phường,họ [Fang1] | ngõ (thường là một phần của tên đường)/cổng vòm tưởng niệm | xưởng/cối xay/phát âm ở Đài Loan [fang1],,,,,,,
芙,fú,phù,"dùng trong 芙蓉[fu2 rong2], hoa sen",,,,,,,
芜,wú,vu,rậm rạp cỏ dại,,,,,,,
苇,wěi,vi,cây sậy/cói/Phragmites communis,,,,,,,
芹,qín,cần,cần tây Trung Quốc,,,,,,,
芥,gài|jiè,giới,xem 芥藍|芥蓝[gai4 lan2] | mù tạt,,,,,,,
杏,xìng,hạnh,mơ/hạnh nhân,,,,,,,
杉,shā|shān,sam,cây sa mộc/Cunninghamia lanceolata/cũng đọc là [sha1],,,,,,,
甫,fǔ,phủ,(văn cổ) vừa mới/vừa/vừa rồi,,,,,,,
匣,xiá,hạp,hộp,,,,,,,
吾,wú,ngô,họ [Wu2] | (cổ) tôi, của tôi,,,,,,
酉,yǒu,dậu,"địa chi thứ 10: 5-7 giờ chiều, tháng 8 âm lịch (8 tháng 9-7 tháng 10), năm Dậu/hướng la bàn Trung Quốc cổ: 270° (tây)",,,,,,,
轩,xuān,hiên,"họ [Xuan1] | tạ có cảnh/quang đãng/cao/xe có rèm, mui cao (cổ)",,,,,,,
吱,zhī|zī,chi,(từ tượng thanh) kẽo kẹt hoặc rên rỉ | (từ tượng thanh) kêu chiêm chiếp, kêu cót két, kêu cọt kẹt,,,,,
吠,fèi,phệ,sủa,,,,,,,
吟,yín,ngâm,ngâm/ngâm thơ/rên rỉ/rên rền/kêu (của một số động vật và côn trùng)/bài hát (thơ cổ) | biến thể cũ của 吟[yin2],,,,,,,
邑,yì,ấp,thành phố/làng,,,,,,,
囤,dùn|tún,độn,kho chứa lúa | tích trữ, đầu cơ,,,,,,
吮,shǔn,duyện,mút,,,,,,,
岖,qū,khu,gồ ghề,,,,,,,
佃,diàn,điền,nông dân | canh tác/săn bắn,,,,,,,
伶,líng,linh,(cũ) diễn viên nam, diễn viên nữ/(hình thức không có nghĩa),,,,,,
肛,gāng,giang,dùng trong 脫疘|脱肛[tuo1 gang1] | hậu môn, trực tràng,,,,,,
肘,zhǒu,trửu,khuỷu tay/thịt vai heo,,,,,,,
彤,tóng,đồng,họ [Tong2] | màu đỏ,,,,,,,
庇,bì,tí,bảo vệ/che chở/làm chỗ dựa/che giấu hoặc chứa chấp,,,,,,,
吝,lìn,lận,(hình thức kết hợp) keo kiệt | biến thể của 吝[lin4],,,,,,,
庐,lú,lư,túp lều,,,,,,,
闰,rùn,nhuận,nhuận/thêm một ngày hoặc tháng vào lịch âm hoặc lịch dương (ví dụ: ngày 29 tháng 2),,,,,,,
沥,lì,lịch,nhỏ giọt/lọc/một dòng nhỏ,,,,,,,
沦,lún,luân,"rơi vào (hủy hoại, lãng quên)/bị giảm xuống",,,,,,,
沈,shěn,trầm | thẩm,họ [Shen3] | biến thể của 沉[chen2] | tên viết tắt của 瀋陽|沈阳[Shen3 yang2] | (văn học) nước ép,,,,,,,
沁,qìn,thấm,thấm/rỉ,,,,,,,
忱,chén,thầm,chân thành/thành thật,,,,,,,
屁,pì,thí,đánh rắm/đầy hơi/vô lý/(thường phủ định) cái gì/(không) một thứ chết tiệt nào,,,,,,,
妓,jì,kĩ,gái mại dâm,,,,,,,
姊,zǐ,tỷ | tỉ,biến thể cũ của 姊[zi3] | chị gái/cách phát âm ở Đài Loan: [jie3],,,,,,,
驴,lǘ,lǘ,biến thể của 驢|驴[lu:2] | con lừa/LT:頭|头[tou2],,,,,,,
坷,kē|kě,khả,không bằng phẳng (đường đi)/bất hạnh (trong cuộc sống),,,,,,,
坯,pī,bôi,phôi (ví dụ: cho một đồng xu)/đồ đất nung chưa nung/sản phẩm bán thành phẩm/phiên âm Đài Loan [pei1],,,,,,,
坤,kūn,khôn,"một trong Bát Quái 八卦[ba1 gua4], tượng trưng cho đất/nguyên lý nữ/☷/hướng la bàn cổ đại Trung Quốc: 225° (tây nam) | biến thể của 坤[kun1]",,,,,,,
拂,fú,phất,biến thể cũ của 弼[bi4] | phủi/quét đi/(gió) lướt nhẹ qua/(văn học) trái ngược với,,,,,,,
拇,mǔ,mẫu,ngón cái/ngón chân cái,,,,,,,
拗,ào|niù,ảo,biến thể của 拗[ao4] | bẻ cong để gãy/chống đối/không vâng lời/cũng đọc là [ao3] | cứng đầu/bướng bỉnh,,,,,,,
茉,mò,mạt,dùng trong 茉莉[mo4li4],,,,,,,
苟,gǒu,cẩu,họ [Gou3] | (văn học) nếu thật sự/(hình thức kết hợp) cẩu thả, sơ suất/(hình thức kết hợp) tạm thời,,,,,,
苑,yuàn,uyển,"họ [Yuan4] | (văn học) khu vực có rào để trồng cây, nuôi động vật v.v.; vườn ngự uyển; công viên/(văn học) trung tâm (nghệ thuật, văn học v.v.)",,,,,,,
苞,bāo,bao,nụ/đài hoa/sum suê/dồi dào,,,,,,,
茁,zhuó,truất,"thể hiện sự phát triển mạnh mẽ, mới/mọc mầm",,,,,,,
苔,tāi|tái,đài,dùng trong 舌苔[she2 tai1] | rêu, địa y, rêu tản,,,,,
枫,fēng,phong,cây phong (chi Acer),,,,,,,
矾,fán,phàn,phèn,,,,,,,
咕,gū,cô,"(từ tượng thanh) cho tiếng chim, bụng đói, v.v.",,,,,,,
呻,shēn,thân,(văn học) ngâm, tụng, đọc/(hình thức kết hợp) rên rỉ,,,,,
咒,zhòu,chú,biến thể của 咒[zhou4] | thần chú/câu thần chú/nguyền rủa/lời nguyền/chửi rủa/nguyền rủa ai đó,,,,,,,
咋,zǎ|zé|zhā,trách,tương đương trong phương ngữ của 怎麼|怎么[zen3 me5] | gặm | tiếng ồn lớn/hét/đột nhiên,,,,,,,
咄,duō,đốt,"(cũ) (thán từ biểu thị không tán thành, thương hại, v.v.) chậc!/Phiên âm Đài Loan: [duo4]",,,,,,,
秆,gǎn,cán,thân cây lúa,,,,,,,
侥,jiǎo|yáo,nghiêu,do may mắn | dùng trong 僬僥|僬侥[Jiao1 Yao2],,,,,,,
侄,zhí,chất | điệt,"biến thể của 姪|侄[zhi2] | con trai của anh, em trai; cháu trai",,,,,,,
肴,yáo,hào,biến thể của 肴[yao2] | món thịt/món hỗn hợp,,,,,,,
忿,fèn,phẫn,tức giận/phẫn nộ/căm ghét,,,,,,,
肮,āng,khảng,bẩn/bẩn thỉu,,,,,,,
狐,hú,hồ,cáo,,,,,,,
狞,níng,nanh,trông dữ tợn,,,,,,,
疟,nüè|yào,ngược,bệnh sốt rét | dùng trong 瘧子|疟子[yao4 zi5],,,,,,,
疙,gē,ngật,mụn cóc/mụn cơm,,,,,,,
疚,jiù,cứu,bệnh mãn tính/cảm giác tội lỗi/hối hận,,,,,,,
庚,gēng,canh,"tuổi/can thứ bảy trong Thập Thiên Can 十天干[shi2 tian1 gan1]/thứ bảy trong thứ tự/chữ ""G"" hoặc số La Mã ""VII"" trong danh sách ""A, B, C"" hoặc ""I, II, III"" v.v./phương vị la bàn cổ Trung Quốc: 255°/hepta",,,,,,,
炕,kàng,kháng,biến thể cũ của 炕[kang4] | kháng (giường gạch có thể đốt nóng)/nướng/phơi sấy bằng nhiệt lửa,,,,,,,
泞,nìng,nính,lầy lội,,,,,,,
怔,zhèng,chinh,(dùng trong từ ghép) kinh ngạc, khiếp sợ, hoảng hốt | (tiếng địa phương) nhìn chằm chằm, sững sờ/tiếng Đài Loan đọc là [leng4],,,,
宛,wǎn,uyển,họ [Wan3] | quanh co/như thể,,,,,,,
诡,guǐ,quỷ,(dạng kết hợp) xảo trá, gian xảo/(văn học) kỳ lạ, kỳ quái/(văn học) mâu thuẫn, không nhất quán,,,,
帚,zhǒu,trửu,cây chổi | biến thể của 帚[zhou3],,,,,,,
陕,shǎn,thiểm,viết tắt của tỉnh Thiểm Tây 陝西|陕西,,,,,,,
妮,nī,ny,"cô gái/phiên âm ""ni"" (trong tên nữ)/cách phát âm Đài Loan [ni2]",,,,,,,
迢,tiáo,điều,xa xôi,,,,,,,
叁,sān,tam | tham,biến thể của 參|叁[san1] | số ba (chữ số phòng chống gian lận của ngân hàng),,,,,,,
驹,jū,câu,ngựa con,,,,,,,
绊,bàn,bán,vấp/ngã/cản trở,,,,,,,
驼,tuó,đà,gù hoặc lưng gù/lạc đà | biến thể của 駝|驼[tuo2],,,,,,,
贰,èr,nhị,hai (chữ số phòng chống gian lận của ngân hàng)/phản bội,,,,,,,
玷,diàn,điếm,vết nhơ/ô danh/tì vết trên ngọc,,,,,,,
玲,líng,linh,(từ tượng thanh) leng keng (trong các từ như 玎玲 hoặc 玲瓏|玲珑)/tiếng leng keng của đồ trang sức bằng ngọc,,,,,,,
珊,shān,san,san hô,,,,,,,
拭,shì,thức,lau,,,,,,,
拷,kǎo,khảo,đánh/đánh đập/thẩm vấn dưới sự tra tấn/(tin học) sao chép (viết tắt của 拷貝|拷贝[kao3 bei4]),,,,,,,
哉,zāi,tai,(thán từ hoặc trợ từ nghi vấn),,,,,,,
垢,gòu,cấu,bẩn/sự ô nhục,,,,,,,
垛,duǒ|duò,đóa | đoá,lỗ châu mai/mục tiêu | đống | biến thể của 垛[duo3],,,,,,,
茸,róng,nhung,(dạng kết hợp) (cỏ mới mọc) mềm và mịn, mượt như lông tơ,,,,,,
茬,chá,tra,đất gốc rạ sau khi thu hoạch/một vụ mùa hai thu được nhờ luân canh/một cơ hội,,,,,,,
茧,jiǎn,kiển,(dạng kết hợp) kén/(dạng kết hợp) vết chai (biến thể của 趼[jian3]) | biến thể của 繭|茧[jian3],,,,,,,
茵,yīn,nhân,nệm,,,,,,,
荤,hūn,huân,"rau có mùi mạnh (tỏi, v.v.)/đồ ăn mặn (thịt, cá, v.v.)/thô tục/tục tĩu",,,,,,,
荔,lì,lệ,biến thể của 荔[li4] | quả vải,,,,,,,
栈,zhàn,sạn,bẹ gỗ hoặc tre cho cừu hoặc gia súc/khung chống bằng gỗ hoặc tre/kho hàng/(tin học) ngăn xếp,,,,,,,
柑,gān,cam,quýt lớn,,,,,,,
栅,shān|zhà,sách,hàng rào/cũng đọc là [shan1],,,,,,,
柠,níng,nịnh,quả chanh,,,,,,,
泵,bèng,bơm,bơm (từ mượn),,,,,,,
砚,yàn,nghiễn,nghiên mực,,,,,,,
鸥,ōu,âu,mòng biển thường,,,,,,,
韭,jiǔ,cửu | phỉ,hẹ | biến thể của 韭[jiu3],,,,,,,
昭,zhāo,chiêu,sáng/rõ ràng/minh bạch/cho thấy rõ,,,,,,,
蚁,yǐ,nghĩ,kiến,,,,,,,
蚂,mǎ|mà,mã,chuồn chuồn | kiến | châu chấu,,,,,,,
咪,mī|mǐ,mễ,âm thanh gọi mèo,,,,,,,
哟,yō|yo,ôi,Ồ! (thán từ chỉ sự ngạc nhiên nhẹ)/cũng đọc là [yao1] | (trợ từ cuối câu biểu thị sự khích lệ)/(âm đệm trong bài hát),,,,,,,
贻,yí,di,tặng/để lại,,,,,,,
钝,dùn,độn,cùn/ngốc,,,,,,,
钠,nà,nột,natri (hóa học),,,,,,,
钮,niǔ,nữu,họ [Niu3] | cúc áo, nút nhấn,,,,,,
毡,zhān,chiên,vải dạ | biến thể của 氈|毡[zhan1],,,,,,,
氢,qīng,khinh,hydrogen (hóa học),,,,,,,
俐,lì,lị,thông minh,,,,,,,
禹,yǔ,vũ,"Vũ Đại (thế kỷ 21 TCN), lãnh tụ huyền thoại trị thủy/họ [Yu3]",,,,,,,
侯,hóu|hòu,hầu,"họ [Hou2] | hầu tước, thứ hai trong ngũ đẳng tước vị cổ đại Trung Quốc 五等爵位[wu3deng3 jue2wei4]/quý tộc; quan chức cao cấp",,,,,,,
狰,zhēng,tranh,ghê sợ/trông dữ tợn,,,,,,,
峦,luán,loan,dãy núi,,,,,,,
疮,chuāng,sang,vết loét/loét da,,,,,,,
疤,bā,ba,vết sẹo/vảy mài,,,,,,,
闽,mǐn,mân,tên gọi tắt của tỉnh Phúc Kiến 福建[Fu2 jian4]/cũng đọc là [Min2],,,,,,,
籽,zǐ,tử,hạt giống,,,,,,,
娄,lóu,lâu,họ [Lou2]/một trong 28 chòm sao trong thiên văn học Trung Quốc,,,,,,,
洼,wā,oa,biến thể của 窪|洼[wa1] | chỗ lõm/bị lõm/đầm lầy,,,,,,,
柒,qī,thất,số bảy (chữ số phòng chống gian lận của ngân hàng),,,,,,,
洛,luò,lạc,"họ [Luo4]/tên gọi cũ của một số con sông (ở Hà Nam, Thiểm Tây, Tứ Xuyên và An Huy) | dùng trong phiên âm",,,,,,,
恃,shì,thị,(dạng kết hợp) dựa vào/(văn học) mẹ của một người,,,,,,,
恬,tián,điềm,yên tĩnh/bình tĩnh/thanh bình/yên bình,,,,,,,
宦,huàn,hoạn,họ [Huan4] | quan lại triều đình/thái giám,,,,,,,
诬,wū,vu,vu cáo,,,,,,,
袄,ǎo,áo,áo khoác/áo jacket/áo ngắn có lót hoặc áo choàng,,,,,,,
祠,cí,từ,nhà thờ/cúng tế,,,,,,,
诲,huì,hối,dạy/dạy bảo/khuyên bảo,,,,,,,
屎,shǐ,thỉ,"phân; chất thải; cục phân/hình thức kết hợp: bài tiết (của tai, mắt, v.v.)",,,,,,,
姚,yáo,diêu,họ [Yao2] | đẹp trai/ưa nhìn,,,,,,,
娜,nà|nuó,na,(phiên âm na)/dùng đặc biệt trong tên nữ như Anna 安娜[An1 na4] hoặc Diana 黛安娜[Dai4 an1 na4] | thanh nhã/duyên dáng,,,,,,,
癸,guǐ,quý,"thiên can thứ mười trong mười Thiên Can 十天干[shi2 tian1 gan1]/thứ mười trong thứ tự/chữ ""J"" hoặc La Mã ""X"" trong danh sách ""A, B, C"", hoặc ""I, II, III"" v.v./điểm la bàn cổ Trung Quốc: 15°/thập",,,,,,,
蚤,zǎo,tảo,bọ chét,,,,,,,
绚,xuàn,huyến,trang trí/nhanh/tuyệt đẹp/rực rỡ/đa dạng,,,,,,,
骆,luò,lạc,họ [Luo4] | lạc đà/ngựa trắng bờm đen (cổ),,,,,,,
耘,yún,vân,làm cỏ,,,,,,,
耙,bà|pá,bá,cái bừa/bừa đất | cái cào,,,,,,,
蚕,cán,tàm,con tằm,,,,,,,
埂,gěng,canh,dải đất cao/bờ đất thấp ngăn cách các cánh đồng,,,,,,,
捌,bā,bát,số tám (chữ số chống gian lận của ngân hàng)/tách ra,,,,,,,
埃,āi,ai,viết tắt của Ai Cập 埃及[Ai1 ji2] | bụi/bẩn/angstrom/phiên âm ai hoặc e,,,,,,,
聂,niè,niếp,họ [Nie4] | thì thầm,,,,,,,
莱,lái,lai,"tên một loại cỏ dại (như cỏ chenopodium, cỏ dền, cỏ heo,...)/Chenopodium album",,,,,,,
莉,lì,lị,dùng trong 茉莉[mo4 li4]/dùng trong phiên âm tên nữ,,,,,,,
莺,yīng,oanh,"chim hoàng oanh hoặc các loài chim khác thuộc họ Sylvidae, bao gồm chích chòe | biến thể của 鶯|莺[ying1]",,,,,,,
梆,bāng,bang,cái mõ của người gác,,,,,,,
桔,jié,kết,Platycodon grandiflorus/cái xô nước | biến thể của 橘[ju2],,,,,,,
桐,tóng,đồng,"tên cây (có thể là cây Paulownia, Firmiana hoặc Aleurites)",,,,,,,
桦,huà,hoa,(thực vật) cây bạch dương (chi Betula),,,,,,,
栗,lì,lật,(văn học) lạnh lẽo, rét mướt/(dạng kết hợp) run sợ | họ [Li4] | hạt dẻ,,,,,,
砰,pēng,phanh,(tượng thanh) bùm/thụp,,,,,,,
砾,lì,lịch,(dạng kết hợp) sỏi, đá nhỏ,,,,,,
殉,xùn,tuẫn,tuẫn táng/chết vì lý tưởng,,,,,,,
哮,xiào,hao,thở hổn hển/gầm/sủa (của động vật)/cách phát âm ở Đài Loan: [xiao1],,,,,,,
晌,shǎng,thưởng,phần của ngày/giữa trưa,,,,,,,
蚌,bàng|bèng,bạng,"viết tắt cho địa cấp thị Bạng Phụ 蚌埠市[Beng4bu4 Shi4], An Huy | con trai/con nghêu",,,,,,,
蚣,gōng,công,con rết scolopendra,,,,,,,
蚪,dǒu,đẩu,nòng nọc,,,,,,,
蚓,yǐn,dẫn,dùng trong 蚯蚓[qiu1 yin3],,,,,,,
哩,lī|li,lý,dặm | (trợ từ ngữ khí tương tự như 呢[ne5] hoặc 啦[la5]),,,,,,,
圃,pǔ,phố,vườn/vườn cây ăn quả,,,,,,,
鸯,yāng,ương,vịt uyên ương,,,,,,,
唁,yàn,nghiễn,bày tỏ lời chia buồn,,,,,,,
唧,jī,tức,(từ tượng thanh) bơm (nước),,,,,,,
唆,suō,toa,mút/xúi giục,,,,,,,
峭,qiào,tiễu,cao và dốc/cheo leo/nghiêm khắc hoặc nghiêm nghị | biến thể của 峭[qiao4],,,,,,,
峨,é,nga,cao ngất/tên một ngọn núi | biến thể của 峨[e2],,,,,,,
钾,jiǎ,giáp,kali (hóa học),,,,,,,
氨,ān,an,amoniac,,,,,,,
笋,sǔn,duẩn,măng,,,,,,,
俺,ǎn,yêm,tôi (phương ngữ miền Bắc),,,,,,,
舀,yǎo,yểu,múc ra, múc lên,,,,,,
豺,chái,sài,động vật giống chó/quái thú tham lam/chó đỏ (Cuon Alpinus)/linh cẩu,,,,,,,
胰,yí,di,tuyến tụy,,,,,,,
脐,qí,tề,(dạng kết hợp) rốn, dây rốn/(dạng kết hợp) yếm của cua, yếm,,,,,
脓,nóng,nùng,mủ,,,,,,,
狸,lí,li,động vật giống cáo | biến thể của 狸[li2],,,,,,,
卿,qīng,khanh,quan chức cấp cao (xưa)/cách gọi thân mật giữa vợ chồng (xưa)/(từ thời nhà Đường trở đi) cách xưng hô của hoàng đế với thần dân (xưa)/tôn xưng (xưa),,,,,,,
鸵,tuó,đà,đà điểu,,,,,,,
鸳,yuān,uyên,vịt uyên ương,,,,,,,
斋,zhāi,tề | trai,"biến thể cũ của 齋|斋[zhai1] | nhịn ăn hoặc kiêng thịt, rượu v.v./chế độ ăn chay/phòng học/toà nhà/bố thí (cho nhà sư)",,,,,,,
疹,zhěn,chẩn,bệnh sởi/phát ban,,,,,,,
羔,gāo,cao,cừu non,,,,,,,
烙,lào|luò,lạc,đóng dấu/ủi/nướng (trên chảo) | dùng trong 炮烙[pao2luo4],,,,,,,
涣,huàn,hoán,tan biến/hoà tan,,,,,,,
涧,jiàn,jiàn,biến thể của 澗|涧[jian4] | suối núi,,,,,,,
涩,sè,sáp,chát/chua chát/khó chịu/không mượt/mặt nhám/khó hiểu/tối nghĩa | biến thể cũ của 澀|涩[se4],,,,,,,
悖,bèi,bội,đi ngược lại/trái với/ngang ngược/nổi loạn | biến thể cũ của 悖[bei4],,,,,,,
悍,hàn,hãn,anh hùng/quả cảm/dũng mãnh/không sợ hãi/hung dữ/mãnh liệt/bạo lực | biến thể của 悍[han4],,,,,,,
悯,mǐn,mẫn,thông cảm, thương hại, cảm thấy thương xót/(văn học) cảm thấy đau buồn, đau lòng,,,,
冥,míng,minh,biến thể cũ của 冥[ming2] | tối/sâu/ngốc/ngục tối,,,,,,,
谆,zhūn,truân,lặp đi lặp lại (khi khuyên nhủ)/chân thành/tha thiết/không mệt mỏi,,,,,,,
祟,suì,túy,tà ma,,,,,,,
娟,juān,quyên,đẹp/duyên dáng,,,,,,,
绢,juàn,quyên,loại vải lụa mỏng và dai,,,,,,,
琐,suǒ,tỏa,vụn vặt/không đáng kể,,,,,,,
琉,liú,lưu,đá quý | biến thể cũ của 琉[liu2],,,,,,,
琅,láng,lang,đá giống ngọc/sạch và trắng/tiếng leng keng của mặt dây chuyền | dùng trong 瑯琊|琅琊[Lang2 ya2] | (ngọc)/(tiếng leng keng của đồ trang sức),,,,,,,
捺,nà,nại,nhấn xuống mạnh/đè nén/nét phảy trong chữ Hán (ví dụ: nét cuối của 大[da4]),,,,,,,
焉,yān,yên,ở đâu/như thế nào,,,,,,,
赦,shè,xá,ân xá (một tù nhân),,,,,,,
埠,bù,phụ,bến cảng/cảng/bến tàu,,,,,,,
捻,niǎn,niệp,"vặn, xoay (bằng ngón tay)",,,,,,,
掂,diān,điêm,cầm để ước lượng/ước tính,,,,,,,
掷,zhì,trịch,ném/thả xí ngầu/âm ở Đài Loan là [zhi2],,,,,,,
聆,líng,linh,(văn học) nghe, lắng nghe,,,,,,
菱,líng,lăng,cây ấu (chi Trapa) | biến thể của 菱[ling2],,,,,,,
菲,fēi|fěi,phỉ,viết tắt của Philippines 菲律賓|菲律宾[Fei1 lu:4 bin1] | tươi tốt (cây cối)/thơm ngát/phenanthrene C14H10 | nghèo/khiêm tốn/không xứng/củ cải (cũ),,,,,,,
菠,bō,ba,"cải bó xôi, rau chân vịt",,,,,,,
萤,yíng,huỳnh,con đom đóm/bọ phát sáng,,,,,,,
乾,qián,càn | kiền | can,"biến thể cũ của 乾[qian2] | họ [Qian2] | một trong Bát Quái 八卦[ba1 gua4], tượng trưng cho trời/nguyên lý nam/☰/hướng la bàn cổ đại Trung Quốc: 315° (tây bắc) | họ [Gan1] | khô/thức ăn khô/trống rỗng; rỗng tuếch/nhận làm thân thích danh nghĩa; nuôi; bố mẹ nuôi/vô ích; uổng phí/(phương ngữ) thô lỗ; cộc cằn/(phương ngữ) lạnh nhạt | biến thể của 乾[qian2]",,,,,,,
梗,gěng,ngạnh,"nhánh/thân/cành/LT:根[gen1]/chặn/cản trở/(từ mới phát triển từ 哏[gen2], ban đầu ở Đài Loan, trong thập niên đầu của thế kỷ 21) ý tưởng sáng tạo đáng nhớ (trò đùa, câu cửa miệng, meme, từ ngữ mới, lời nhận xét dí dỏm, v.v.)/đặc điểm nổi bật của một tác phẩm sáng tạo (câu chốt của trò đùa, mô típ trong phim, thành phần đặc biệt trong món ăn, điệp khúc trong bài hát pop, v.v.)",,,,,,,
梧,wú,ngô,cây ngô đồng (Sterculia platanifolia),,,,,,,
梭,suō,toa,(dệt) thoi,,,,,,,
硅,guī,khuê,silic (hóa học),,,,,,,
盔,kuī,khôi,mũ bảo hiểm,,,,,,,
匾,biǎn,biển | biên,tấm bảng chữ nhật nằm ngang treo trên cửa hoặc trên tường/giỏ đan tròn nông bằng tre | nền giường dạng rổ trong quan tài,,,,,,,
颅,lú,lô,trán/hộp sọ,,,,,,,
彪,biāo,bưu,vằn hổ/hổ con/(cách gọi cũ) đơn vị binh lính,,,,,,,
眶,kuàng,khuông,(dạng kết hợp) hốc mắt/Phát âm Đài Loan: [kuang1],,,,,,,
眯,mī|mí,mị,làm mù (như bởi bụi)/phát âm ở Đài Loan [mi3] | nheo mắt/(thổ ngữ) chợp mắt,,,,,,,
啪,pā,ba,(từ tượng thanh) băng/bốp/đoàng,,,,,,,
曼,màn,mạn,đẹp/lớn/dài,,,,,,,
