Level,Hanzi,Pinyin,Sino_Vietnamese,Traditional,POS,Examples,Viet_Meaning,English_Meaning
1,第,dì,đệ,第,Prefix,,"(tiền tố chỉ số thứ tự, như trong 第六[di4 liu4] ""thứ sáu"")/(văn học) thứ hạng mà thí sinh đỗ đạt trong kỳ thi đình được xếp vào/(cũ) nơi ở của quan chức cao cấp/(văn học) nhưng; tuy nhiên/(văn học) chỉ; chỉ là","(prefix indicating ordinal number, as in 六 ""sixth""); (literary) grades in which successful candidates in the imperial examinations were placed; (old) residence of a high official; (literary) but; however; (literary) only; just"
1,第二,dì-èr,đệ nhị,第二,Num,1,thứ hai/số hai/kế tiếp/phụ,second; number two; next; secondary
1,点,diǎn,điểm,點,M/V/N,,điểm/chấm/giọt/vết/chấm giờ/điểm (trong không gian hoặc thời gian)/vẽ một chấm/kiểm tra danh sách/chọn/gọi món (trong nhà hàng)/chạm nhẹ/gợi ý/thắp/làm sáng/rót chất lỏng từng giọt/(cũ) một phần năm của một canh hai giờ 更[geng1]/nét chấm trong chữ Hán/lượng từ cho mục,point; dot; drop; speck; o'clock; point (in space or time); to draw a dot; to check on a list; to choose; to order (food in a restaurant); to touch briefly; to hint; to light; to ignite; to pour a liquid drop by drop; (old) one fifth of a two-hour watch 更; dot stroke in Chinese characters; classifier for items
1,电,diàn,điện,電,N,,"sét/điện/dạng kết hợp của điện/bị (hoặc gây) điện giật/cuộc gọi điện thoại hoặc điện báo, v.v./gửi qua điện thoại hoặc điện báo, v.v.",lightning; electricity; electric (bound form); to get (or give) an electric shock; phone call or telegram etc; to send via telephone or telegram etc
1,电话,diànhuà,điện thoại,電話,N,,điện thoại/LT:部[bu4]/cuộc gọi điện thoại/LT:通[tong1]/số điện thoại,telephone; phone call; phone number
1,电脑,diànnǎo,điện não,電腦,N,,máy tính/LT:臺|台[tai2],computer
1,电视,diànshì,điện thị,電視,N,,"truyền hình; TV/LT:臺|台[tai2],部[bu4]",television; TV
1,电视机,diànshìjī,điện thị ky,電視機,N,,máy thu hình/LT:臺|台[tai2],television set
1,电影,diànyǐng,điện ảnh,電影,N,,"phim; điện ảnh/LT:部[bu4],片[pian4],幕[mu4],場|场[chang3]",movie; film
1,电影院,diànyǐngyuàn,điện ảnh viện,電影院,N,,"rạp chiếu phim; rạp phim/LT:家[jia1],座[zuo4]",cinema; movie theater
1,东,dōng,đông,東,N,,phía đông/chủ nhà (tức là ngồi phía đông của khách)/địa chủ,surname Dong
1,东边,dōngbian,đông biên,東邊,N,,hướng đông/phía đông/phần phía đông/về phía đông của,east; east side; eastern part; to the east of
1,东西,dōngxi,đông tây,東西,N,,"đồ vật/thứ/người/lượng từ: 個|个[ge4], 件[jian4]",east and west
1,动,dòng,động,動,V,,"(cái gì đó) di chuyển/bắt đầu chuyển động/dịch chuyển/chạm vào/sử dụng/khuấy động (cảm xúc)/thay đổi/viết tắt của 動詞|动词[dong4 ci2], động từ","(of sth) to move; to set in movement; to displace; to touch; to make use of; to stir (emotions); to alter; abbr. for 动词, verb"
1,动作,dòngzuò,động tác,動作,N,,chuyển động; cử động; hành động (LT:個|个[ge4])/diễn; di chuyển,movement; motion; action; to act; to move
1,都,dōu,đô,都,Adv,,thủ đô/thành phố lớn,surname Du
1,读,dú,độc,讀,V,,đọc ra; đọc to/đọc/theo học (trường); học (một môn ở trường)/phát âm,comma; phrase marked by pause
1,读书,dúshū,độc thư,讀書,,,đọc sách/học/học ở trường,to read a book; to study; to attend school
1,对,duì,đối,對,Adj,,đúng; chính xác/hướng đến; tại; vì/về; liên quan đến/đối xử (với ai đó cách nào đó)/đối mặt/(dạng kết hợp) đối diện; đối nhau; phù hợp/ghép lại với nhau; điều chỉnh/phù hợp; thích hợp/trả lời; đáp/thêm vào; rót vào (chất lỏng)/kiểm tra; so sánh/lượng từ: cặp; đôi,right; correct; towards; at; for; concerning; regarding; to treat (sb a certain way); to face; (bound form) opposite; facing; matching; to match together; to adjust; to fit; to suit; to answer; to reply; to add; to pour in (a fluid); to check; to compare; classifier: couple; pair
1,对不起,duìbuqǐ,đối bất khởi,對不起,V,,Tôi xin lỗi; xin thứ lỗi; tôi xin tha thứ/làm (ai đó) thất vọng; không đạt kỳ vọng,I'm sorry; excuse me; I beg your pardon; to let (sb) down; to disappoint
1,多,duō,đa,多,Adj/Pron,,nhiều/quá nhiều; dư thừa/(sau một số) ... lẻ/như thế nào (mức độ nào) (cách phát âm ở Đài Loan [duo2])/(dạng kết hợp) đa-; nhiều-,many; much; too many; in excess; (after a numeral) ... odd; how (to what extent) (Taiwan pr. [duó]); (bound form) multi-; poly-
1,多少,duōshao,đa thiểu,多少,Pron,,"bao nhiêu?; mấy?/(số điện thoại, mã sinh viên, v.v.) số bao nhiêu?",number; amount; somewhat
1,饿,è,ngạ,餓,Adj/V,,đói/làm cho đói,to be hungry; hungry; to starve (sb)
1,儿子,érzi,nhân tử,兒子,N,,con trai,son
1,二,èr,nhị,二,Num,,hai/2/(tiếng Bắc Kinh) ngu ngốc,two; 2; (Beijing dialect) stupid
1,饭,fàn,phạn,飯,N,,cơm đã nấu/LT:碗[wan3]/bữa ăn/LT:頓|顿[dun4]/(từ mượn) fan/người hâm mộ,cooked rice; meal; (loanword) fan; devotee
1,饭店,fàndiàn,phạn điếm,飯店,N,,"nhà hàng/khách sạn/LT:家[jia1],個|个[ge4]",restaurant; hotel
1,房间,fángjiān,phòng gian,房間,N,,"phòng/LT:間|间[jian1],個|个[ge4]",room
1,房子,fángzi,phòng tử,房子,N,,"nhà/tòa nhà (một hoặc hai tầng)/căn hộ/phòng/LT:棟|栋[dong4],幢[zhuang4],座[zuo4],套[tao4],間|间[jian1]",house; building (single- or two-story); apartment; room
1,放,fàng,phóng,放,V,,đặt/để/phát hành/thả/để cho đi/thả ra/bắn (pháo hoa),to put; to place; to release; to free; to let go; to let out; to set off (fireworks)
1,放假,fàngjià,phóng giả,放假,,,nghỉ lễ hoặc kỳ nghỉ,to have a holiday or vacation
1,放学,fàngxué,phóng học,放學,,,tan học,to dismiss students at the end of the school day
1,飞,fēi,phi,飛,V,,bay,to fly
1,飞机,fēijī,phi ky,飛機,N,,máy bay/LT:架[jia4],airplane
1,非常,fēicháng,phi thường,非常,Adv,,rất; thực sự/khác thường; phi thường,very; really; unusual; extraordinary
1,分,fēn,phân,分,N/M,,phần/cổ phần/thành phần/đơn vị cấu thành,to divide; to separate; to distribute; to allocate; to distinguish (good and bad); (bound form) branch of (an organization); sub- (as in 局); fraction; one tenth (of certain units); unit of length equivalent to 0.33 cm; minute (unit of time); minute (angular measurement unit); a point (in sports or games); 0.01 yuan (unit of money)
1,风,fēng,phong,風,N,,"gió/tin tức/phong cách/tập quán/tác phong/LT:陣|阵[zhen4],絲|丝[si1]",wind; news; style; custom; manner
1,干,gān,can,乾,Adj,,thân cây/phần chính của cái gì/quản lý/làm/thực hiện/có năng lực/cán bộ/giết (lóng)/địt (tục)/(thông tục) bực bội/khó chịu,old variant of 干
1,干净,gānjìng,can tịnh,乾淨,Adj,,sạch/gọn gàng,clean; neat
1,干,gàn,can,幹,V,,thân cây/phần chính của cái gì/quản lý/làm/thực hiện/có năng lực/cán bộ/giết (lóng)/địt (tục)/(thông tục) bực bội/khó chịu,old variant of 干
1,干什么,gàn shénme,can thập ma,幹什麼,,,bạn đang làm gì?/anh ấy đang định làm gì?,what are you doing?; what's he up to?
1,高,gāo,cao,高,Adj,,cao/khoảng trên trung bình/to/lớn/(kính ngữ) của bạn,surname Gao
1,高兴,gāoxìng,cao hưng,高興,Adj,,vui/vui vẻ/sẵn lòng (làm gì đó)/tâm trạng vui vẻ,happy; glad; willing (to do sth); in a cheerful mood
1,告诉,gàosu,cáo tố,告訴,V,,nói; thông báo; cho biết,to press charges; to file a complaint
1,哥哥,gēge,ca ca,哥哥,N,,"anh trai/LT:個|个[ge4],位[wei4]",older brother
1,哥,gē,ca,哥,N,,anh trai,elder brother
1,歌,gē,ca,歌,N,,biến thể của 歌[ge1],song; to sing
1,个,gè,cá,個,M,,biến thể của 個|个[ge4],used in 自个儿
1,给,gěi,cấp,給,V/Prep,,cung cấp/cấp,to; for; for the benefit of; to give; to allow; to do sth (for sb); (grammatical equivalent of 被); (grammatical equivalent of 把); (sentence intensifier)
1,跟,gēn,cân,跟,Prep/Conj/V,,gót chân/theo sát/đi cùng/(phụ nữ) lấy ai/với/so với/đến/hướng về/và (nối hai danh từ),heel; to follow closely; to go with; (of a woman) to marry sb; with; compared with; to; towards; and (joining two nouns)
1,工人,gōngrén,công nhân,工人,N,,"công nhân/Lượng từ: 個|个[ge4], 名[ming2]",worker
1,工作,gōngzuò,công tác,工作,V/N,,"làm việc/(máy móc) vận hành/công việc/việc/nhiệm vụ/LT:個|个[ge4],份[fen4],項|项[xiang4]",to work; (of a machine) to operate; job; work; task
1,关,guān,quan,關,V,,"ải núi/đóng; khép; tắt/giam giữ; nhốt; nhốt (ai đó trong phòng, chim trong lồng, v.v.)/liên quan; dính líu",surname Guan
1,关上,guānshang,quan thượng,關上,,,"đóng (cửa)/tắt (đèn, thiết bị điện, v.v.)","to close (a door); to turn off (light, electrical equipment etc)"
1,贵,guì,quý,貴,Adj,,đắt/(hình thức kết hợp) được coi trọng; quý giá/(hình thức kết hợp) quý tộc; có địa vị cao/(tiền tố) (kính ngữ) của bạn,expensive; noble; precious; (honorific) your
1,国,guó,quốc,國,N,,quốc gia; dân tộc; nhà nước (LT:個|个[ge4])/(hình thức kết hợp) quốc gia,surname Guo
1,国家,guójiā,quốc gia,國家,N,,quốc gia; dân tộc; nhà nước/LT:個|个[ge4],country; nation; state
1,国外,guó wài,quốc ngoại,國外,,,ở nước ngoài/ngoại (sự vụ)/hải ngoại/nước ngoài,abroad; external (affairs); overseas; foreign
1,过,guò,quá,過,V,,(trợ từ chỉ hành động đã trải qua),surname Guo
1,还,hái,hoàn,還,Adv,,trả lại/trở về,surname Huan
1,还是,háishi,hoàn thị,還是,Adv/Conj,,vẫn (như trước)/nên (tốt hơn)/không ngờ/hoặc,still (as before); had better; unexpectedly; or
1,还有,hái yǒu,hoàn hữu,還有,,,vẫn còn; còn có/thêm vào đó,furthermore; in addition; still; also
1,孩子,háizi,hài tử,孩子,N,,trẻ em,child
1,汉语,Hànyǔ,hán ngữ,漢語,N,,Ngôn ngữ tiếng Trung/LT:門|门[men2],Chinese language
1,汉字,Hànzì,hán tự,漢字,N,,chữ Hán/LT:個|个[ge4]/Nhật: kanji/Hàn: hanja/Việt: hán tự,Chinese character; Japanese: kanji; Korean: hanja; Vietnamese: hán tự
1,好,hǎo,hảo,好,Adj,,thích; có khuynh hướng; dễ,good; appropriate; proper; all right!; (before a verb) easy to; (before a verb) good to; (before an adjective for exclamatory effect) so; (verb complement indicating completion); (of two people) close; on intimate terms; (after a personal pronoun) hello
1,好吃,hǎochī,hảo cật,好吃,Adj,,thích ăn; tham ăn,tasty; delicious
1,好看,hǎokàn,hảo khán,好看,Adj,,"ưa nhìn/xinh đẹp/hay (phim, sách, chương trình TV, v.v.)/xấu hổ/bị bẽ mặt","good-looking; nice-looking; good (of a movie, book, TV show etc); embarrassed; humiliated"
1,好听,hǎotīng,hảo thính,好聽,Adj,,nghe hay,pleasant to hear
1,好玩儿,hǎowánr,hảo ngoạn nhân,好玩兒,Adj,,biến thể er hoá của 好玩[hao3 wan2],erhua variant of 好玩; amusing; fun; interesting
1,号,hào,hiệu,號,N/M,,số thứ tự/ngày trong tháng/dấu/ký hiệu/cơ sở kinh doanh/kích cỡ/hậu tố tàu/thổi kèn/lệnh kèn/tên giả/bắt mạch/lượng từ chỉ số người,roar; cry
1,喝,hē,hát,喝,V,,hô,to drink; variant of 嗬
1,和,hé,hòa,和,Prep/Conj,,biến thể cũ của 和[he2]/hòa hợp,old variant of 和
1,很,hěn,ngận,很,Adv,,(phó từ mức độ)/khá/rất/cực kỳ,(adverb of degree); quite; very; awfully
1,后,hòu,hậu,後,N,,phía sau/đằng sau/sau này/sau/sau đó/hậu-,surname Hou
1,后边,hòubian,hậu biên,後邊,N,,phía sau; đằng sau; phần cuối/đằng sau; gần cuối; ở phía sau/sau này; sau đó,the back; the rear; the last bit; behind; near the end; at the back; later; afterwards
1,后天,hòutiān,hậu thiên,後天,N,,"ngày mốt/cuộc sống sau khi sinh (giai đoạn phát triển qua kinh nghiệm, tương phản với 先天[xian1 tian1])/mắc phải (không phải bẩm sinh hoặc di truyền)/hậu nghiệm","the day after tomorrow; life after birth (the period in which one develops through experiences, contrasted with 天); acquired (not innate or congenital); a posteriori"
1,花,huā,hoa,花,N,,biến thể của 花[hua1]/hoa/bông/cũng đọc là [wei3],surname Hua
1,话,huà,thoại,話,N,,biến thể cũ của 話|话[hua4],dialect; language; spoken words; speech; talk; words; conversation; what sb said
1,坏,huài,phôi,壞,Adj,,xấu/bị hỏng/hư/hỏng/(hậu tố) cực kỳ,bad; spoiled; broken; to break down; (suffix) to the utmost
1,还,huán,hoàn,還,V,,trả lại/trở về,surname Huan
1,回,huí,hồi,回,V,,biến thể của 迴|回[hui2],to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book)
1,回答,huídá,hồi đáp,回答,V/N,,trả lời; đáp/trả lời; đáp án,to reply; to answer; reply; answer
1,回到,huídào,hồi đáo,回到,V,,trở về,to return to
1,回家,huí jiā,hồi gia,回家,,,trở về nhà,to return home
1,回来,huílái,hồi lai,回來,,,trở về; quay lại,to return; to come back
1,回去,huíqù,hồi khứ,回去,,,trở về/quay lại,to return; to go back
1,会,huì,hội,會,V,,cân đối tài khoản/kế toán/nhân viên kế toán,can; to have the skill; to know how to; to be likely to; to be sure to; to meet; to get together; meeting; gathering; (suffix) union; group; association; (bound form) a moment (Taiwan pr. [huǐ])
1,火车,huǒchē,hỏa xa,火車,N,,"tàu hỏa/LT:列[lie4],節|节[jie2],班[ban1],趟[tang4]",train
1,机场,jīchǎng,ky tràng,機場,N,,"sân bay; phi trường/(tiếng lóng) nhà cung cấp dịch vụ cho Shadowsocks hoặc phần mềm tương tự để vượt kiểm duyệt Internet/Lượng từ: 家[jia1],處|处[chu4]",airport; airfield; (slang) service provider for Shadowsocks or similar software for circumventing Internet censorship
1,机票,jīpiào,ky phiếu,機票,N,,vé máy bay/vé hành khách/LT:張|张[zhang1],air ticket; passenger ticket
1,鸡蛋,jīdàn,kê đản,雞蛋,N,,"trứng (gà)/trứng gà/LT:個|个[ge4],打[da2]",(chicken) egg; hen's egg
1,几,jǐ,kỷ,幾,Num/Pron,,bao nhiêu/mấy/một vài/vài,small table
1,记,jì,kí,記,V,,"ghi chép/ghi lại/ghi nhớ/nhớ/dấu hiệu/ký hiệu/lượng từ cho đòn đánh, cú đá, phát bắn","to record; to note; to memorize; to remember; mark; sign; classifier for blows, kicks, shots"
1,记得,jìde,kí đắc,記得,V,,nhớ,to remember
1,记住,jìzhù,kí trụ,記住,,,nhớ/ghi nhớ/học thuộc lòng,to remember; to bear in mind; to learn by heart
